Date,FII_Fut,DII_Fut,PRO_Fut,FII_Opt,DII_Opt,PRO_Opt,NET_SMART_Fut,NET_SMART_Opt,Fut_Change,Opt_Change
2022-05-09,-46411,-100624,26421,-34144,-225801,-288325,-120614,-548270,,
2022-05-10,-38561,-96340,33192,-32237,-243138,-316793,-101709,-592168,18905.0,-43898.0
2022-05-11,-36396,-108216,32668,-32249,-205428,-264741,-111944,-502418,-10235.0,89750.0
2022-05-12,-21511,-124639,28486,-29745,-257349,-232734,-117664,-519828,-5720.0,-17410.0
2022-05-13,-17910,-88982,20260,-27523,-232496,-298962,-86632,-558981,31032.0,-39153.0
2022-05-14,-19602,-77247,7592,-27523,-229931,-218642,-89257,-476096,-2625.0,82885.0
2022-05-18,-25942,-63669,-63,-29291,-199406,-157138,-89674,-385835,-417.0,90261.0
2022-05-19,-19791,-75387,2148,-29377,-211247,-161433,-93030,-402057,-3356.0,-16222.0
2022-05-20,-27716,-38378,1038,-29756,-108810,66225,-65056,-72341,27974.0,329716.0
2022-05-23,-28522,-39105,4123,-26838,-127292,-134730,-63504,-288860,1552.0,-216519.0
2022-05-24,-28859,-47342,11247,-31337,-73463,-155808,-64954,-260608,-1450.0,28252.0
2022-05-25,-28572,-32907,7292,-33920,-136253,-259716,-54187,-429889,10767.0,-169281.0
2022-05-26,-33560,-15410,19188,-28283,-79977,-33468,-29782,-141728,24405.0,288161.0
2022-05-27,-37056,-5047,16177,-28263,-62895,38658,-25926,-52500,3856.0,89228.0
